term,pos,comment,af,comment_af,ar,comment_ar,be,comment_be,bg,comment_bg,bn,comment_bn,ca,comment_ca,cs,comment_cs,da,comment_da,de,comment_de,el,comment_el,eo,comment_eo,es,comment_es,et,comment_et,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,gu,comment_gu,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,km,comment_km,ko,comment_ko,ku,comment_ku,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr,comment_mr,ms,comment_ms,my,comment_my,nl,comment_nl,no,comment_no,pl,comment_pl,pt_BR,comment_pt_BR,pt_PT,comment_pt_PT,ro,comment_ro,ru,comment_ru,si,comment_si,sk,comment_sk,sl,comment_sl,sq,comment_sq,sr,comment_sr,sv,comment_sv,ta,comment_ta,th_TH,comment_th_TH,tr,comment_tr,uk,comment_uk,ur,comment_ur,uz,comment_uz,vi,comment_vi,zh_CN,comment_zh_CN,zh_TW,comment_zh_TW
in circulation,,,,,المتداول,,,,,,,,en circulació,,,,,,Umlauf,,,,,,en circulación,,,,,,,,,,en circulation,,,,,,,,u opticaju,,forgalomban lévő,"Pénzforgásra utal, de azt nem nagyon mondjuk, hogy a ""forgásban lévő pénz"". Természetesebb a forgalomban lévőt használni.",,,,,in circolazione,,,,,,,,,,,,apyvartoje,,,,,,പ്രചാരത്തിൽ,,,,,,,,,,in omloop,,,,,,,,em circulação,,,,в обороте,,,,,,v obtoku,,,,,,i cirkulation,,,,,,dolaşımda,,,,,,,,,,,,,
individual,Noun,,,,الفرد,,,,,,,,,,,,,,,,,,,,individual,,,,,,,,,,,,,,,,,,pojedini,,magánszemély,,,,,,individuo,,,,,,,,,,,,individas,,,,,,,,,,,,,,,,individu,,,,,,,,,,,,частный,,,,,,posameznik,,,,,,individ,,,,,,,,приватний,,,,,,,,个体,,,
information,Noun,,,,,,,,,,,,,,,,,,,,,,,,información,,,,,,,,,,,,,,,,,,,,,,,,,,informazioni,,,,,,ព័ត៌មាន,,,,,,informacija,,,,,,,,,,,,,,,,informatie,,,,,,,,,,,,,,,,,,,,,,,,information,,,,,,,,,,,,,,,,信息,,,
initial,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iniziale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inledande,,,,,,,,,,,,,,,,,,,
involve,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coinvolgere,,,,,,ទាក់ទិន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
involved,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coinvolto,,,,,,បានទាក់ទិន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,è,,,,,,គឺ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
issue,Noun,,,,,,,,,,,,,,,,,,,,,,,,informe,,,,,,,,,,,,,,,,,,,,,,,,,,problema,,,,,,កិច្ចការបញ្ហា,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ärende,,,,,,,,,,,,,,,,,,,
ledger,Noun,,,,,,,,,,,,,,,,,,,,,,,,libro de transacciones,,,,,,,,,,,,,,,,,,glavna knjiga,"U knjigovodsvu knjiga u koju se zapisuju sve transackije, prihodi i rashodi.",főkönyv,,,,,,libro mastro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,регистр,,,,,,knjiga nakazil,,,,,,liggare,,,,,,,,,,,,,,,,,,,
legal,Noun,,,,,,,,,,,,,,,,,,,,,,,,legal,,,,,,,,,,,,,,,,,,,,,,,,,,legale,,,,,,ផ្នែកច្បាប់ ស្របច្បាប់,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laglig,,,,,,,,,,,,,,,,,,,
link,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collegamento,,,,,,តំណភ្ជាប់,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiperligação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,链接,,,
links,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collegamenti,,,,,,តំណភ្ជាប់ច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elenco,,,,,,បញ្ជី,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
load,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caricare,,,,,,ទាញ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
looking for,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cercare,,,,,,រកមើល,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mailing list,Noun,,,,لائحة بريد,,,,,,,,adreces electròniques,,,,,,Mailingliste,,,,,,lista de correos,,,,,,,,,,liste de diffusion,,,,,,,,mailing lista,,levelezőlista,,,,,,mailing list,,,,,,,,,,,,,,,,,,തപാൽ പട്ടിക,,,,,,,,,,mailinglist,,,,,,,,,,,,список рассылки,,,,,,dopisni seznam,,,,,,e-postlista,,,,,,e-posta listesi,,список адресатів,,,,,,,,邮件列表,,,
major,Adverb,,,,,,,,,,,,,,,,,,,,,,,,mayor,"también puede ser alcalde, dependel del contexto",,,,,,,,,,,,,,,,,,,,,,,,,maggiore,,,,,,ចម្បង,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,större,,,,,,,,,,,,,,,,,,,
malware,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skadlig kod,,,,,,,,,,,,,,,,,,,
material,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,materiale,,,,,,វត្ថុធាតុដើម,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merchant,Noun,,,,بائع,,,,,,,,,,,,,,,,,,,,mercader,,,,,,,,,,,,,,,,,,trgovac,,kereskedő,,,,,,commerciante,,,,,,,,,,,,,,,,,,,,,,,,,,,,winkelier; verkoper,Context-dependent,,,,,,,,,,,торговец,,,,,,trgovec,,,,,,handlare,,,,,,,,,,,,,,,,商户,,,
miner,Noun,,,,منقب,,,,,,,,,,,,,,,,εξορύκτης-ες,,,,minero,,,,,,,,,,Mineur,,,,,,,,rudar,,bányász,,,,,,minatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,miner,,,,,,,,minerador,,,,майнер,,,,,,rudar,,,,,,brytare,,,,,,,,шахтар,,,,,,,,矿工,也可泛指挖矿的个体或组织，注意语境,,
miners,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mineurs,,,,,,,,,,bányászok,,,,,,minatori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mining,Noun,,,,تنقيب,,,,,,,,mineria,,,,,,Mining,,,,,,minería,,,,,,,,,,minage,,,,,,,,rudarenje,,bányászat,,,,,,mining,,,,,,,,채굴,,,,,,rakšana,,,,ഖനനം,,,,,,,,,,mining,Leave in English,,,,,,,exploração,,,,майнинг,Процесс добычи биткойнов и поддержания работы сети,,,,,rudarjenje,,,,,,"grävning, brytning","Either one (see https://it-ord.idg.se/ord/bitcoin/) Let's avoid ""utvinning"" as that term refers to the process of ""data mining"".",,,,,madencilik,,видобуток,,,,,,,,挖矿,,挖礦,探勘
mining pool,Noun,,,,مجمع تنقيب,,,,,,,,,,,,,,,,,,,,consorcio de minería,,,,,,,,,,Piscine de minage,,,,,,,,rudarski bazen,,bányászati közösség,,,,,,pool di mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,майнинг-пул,,,,,,rudarsko združenje,,,,,,brytningspool,,,,,,,,пул для майнінгу,,,,,,,,矿池,,,
mixing servicе,Noun,,,,,,,,,,,,,,,,,,,,,,,,servicio de mezclado,,,,,,,,,,,,,,,,,,mikser/mješalica,usluga za povećanje anonimnosti bitcoin transakcija,,,,,,,servizio di miscelazione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,биткойн-миксер,,,,,,,,,,,,mixertjänst,,,,,,,,,,,,,,,,混合服务,,,
mobile wallet,Noun,,,,محفظة محمول,,,,,,,,,,,,,,,,,,,,monedero móvil,,,,,,,,,,,,,,,,,,mobilni novčanik,Novčanik koji se koristi na mobitelu,mobilpénztárca,,,,,,portafoglio mobile,,,,,,កាបូបចល័ត,,,,,,mobili piniginė,,,,,,,,,,,,,,,,mobiele portemonnee,,,,portfel mobilny,,,,,,,,мобильный кошелек,,,,,,mobilna denarnica,,,,,,mobil plånbok,,,,,,,,мобільний гаманець,,,,,,,,移动端钱包,,,
mode,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,procedura,,,,,,ម៉ូត,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modes,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,procedure,,,,,,ម៉ូតច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
money,Noun,,,,نقود,,,,,,,,,,,,,,Geld,,,,,,dinero,,,,,,,,,,monnaie,,,,,,,,novac,,pénz,,,,,,denaro,,,,ფული,,លុយ,,,,,,pinigai,,,,,,പണം,,,,,,,,,,geld,,,,,,,,dinheiro,,,,деньги,,,,,,denar,,,,,,pengar,,,,,,para,,гроші,,,,,,,,,,貨幣,金錢
more,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di più,,,,,,ច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
most of the,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la maggior parte delle,,,,,,ច្រើនបំផុត,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multi-signature,Adjective,,,,تواقيع متعددة,,,,,,,,,,,,,,Multi-Signatur,,,,,,Firma-múltiple,,,,,,,,,,multi-signatures,,,,,,,,višepotpisni,transakcija s više potpisa,csoportos aláírás,,Multi-signature,"Multi-signature adalah metode penandatangan digital yang dilakukan oleh beberapa pengguna dalam satu dokumen tunggal. Di dalam bitcoin, sebuah transaksi dengan multi-signature ini akan membutuhkan key lebih dari satu untuk memberikan otorisasi transaksi tersebut.",,,multi-firma,,,,,,,,,,,,,,,,,,കൂട്ടഒപ്പ്,,,,,,,,,,meervoudige ondertekening,Context-dependent,,,,,,,,,,,мульти-подпись,когда требуется подпись нескольких человек,,,,,večstranski podpis,,,,,,multi-signatur,,,,,,çoklu-imza,,,,,,,,,,多重签名,多重签名,多重簽章,
multisig,Adjective,,,,,,,,,,,,,,,,,,,,,,,,multifirma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,večstransko podpisovanje,,,,,,,,,,,,,,,,,,,,,,,,,
network,Noun,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,hálózat,,,,,,rete,,,,,,បណ្តាញ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuovo,,,,,,ថ្មី,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nessuno,,,,,,គ្មាន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-profit organization,,,,,,,,,,,,,,,,,,,,,,,,,organización sin fines de lucro,,,,,,,,,,,,,,,,,,neprofitna organizacija,,,,,,,,organizzazione no-profit,,,,,,,,,,,,nepelno siekianti organizacija,,,,,,,,,,,,,,,,non-profitorganisatie,,,,,,,,,,,,,,,,,,,,,,,,icke vinstdrivande organisation,,,,,,,,,,,,,,,,,,,
not,Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non,,,,,,មិន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numero,,,,,,លេខ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numbers,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeri,,,,,,លេខច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of,Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di,,,,,,នៃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offline,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,offline,,,,,,,,,,,,,,,,,,,
on,Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sopra,,,,,,លើ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on the,Conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sul,,,,,,នៅលើ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online,,,,,,,,,,,,,,,,,,,
online wallet,Noun,,,,محفظة مشبوكة,,,,,,,,,,,,,,,,,,,,monedero en línea,,,,,,,,,,portefeuille en ligne,,,,,,,,online novčanik,,online tárca,,,,,,portafoglio online,,,,,,កាបូបបណ្តាញ,,,,,,internetinė piniginė,,,,,,ഓൺലൈൻ പണസഞ്ചി,,,,,,,,,,webportemonnee,,,,portfel online,,,,,,,,онлайн кошелек,,,,,,spletna denarnica,,,,,,onlineplånbok,,,,,,çevrim içi cüzdan,,онлайн гаманець,,,,,,,,在线钱包,,,
open source,Adjective,,,,مفتوح المصدر,,,,,,,,,,,,,,Open Source,,,,,,código abierto,,,,,,,,,,libre et ouvert,,,,,,,,otvoreni kod,,nyílt forráskódú,,,,,,open source,,,,,,ដែលបើកចំហរកូដ,,,,,,atvirojo kodo,,,,,,ഓപൺ സോഴ്സ്,,,,,,,,,,opensource,,,,,,,,código aberto,,,,с открытым исходным кодом,исходный текст программы может посмотреть каждый,,,,,odprtokoden,,,,,,baserad på öppen källkod,,,,,,açık kaynak,,відкритий код,,,,,,,,开源,, 開放原始碼,
open source project,Noun,,,,,,,,,,,,,,,,,,Open-Source-Projekt,,,,,,proyecto de código abierto,,,,,,,,,,,,,,,,,,,,,,,,,,progetto open source,,,,,,,,,,,,atvirojo kodo projektas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,projekt baserat på öppen källkod,,,,,,,,,,,,,,,,开源项目,,,
open-source,Adjective,,,,,,,,,,,,,,,,,,Open Source,,,,,,código abierto,,,,,,,,,,,,,,,,,,otvorenog koda,,,,,,,,open-source,,,,,,ដែលបើកចំហរកូដ,,,,,,atvirojo kodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,с открытым исходным кодом,,,,,,,,,,,,baserad på öppen källkod,,,,,,,,,,,,,,,,开源的,,,
operating,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operare,,,,,,កំពុងប្រតិបត្តិការ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other,Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,altro,,,,,,ផ្សេង,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
over,Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oltre,,,,,,លើ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
override,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passare sopra,,,,,,ការលុបចាស់ចោល,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,åsidosättande,,,,,,,,,,,,,,,,,,,
override,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,åsidosätta,,,,,,,,,,,,,,,,,,,
overview,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,panoramica,,,,,,ពិនិត្យឡើងវិញ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,översikt,,,,,,,,,,,,,,,,,,,
own,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proprio,,,,,,ម្ចាស់,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partial,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parziale,,,,,,ចំណែក,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
passphrase ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phrase secrète,,,,,,,,lozinka,,,,,,,,frase d'accesso,,,,,,ឃ្លាសម្ងាត់,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lösenfras,,,,,,,,,,,,,,,,密码短文,,,
password,Noun,,,,,,,,,,,,,,,,,,,,,,,,"clave, contraseña",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payment,Noun,,,,أداء,,,,,,,,,,,,,,,,,,,,pago,,,,,,,,,,Paiement,,,,,,,,plaćanje,,fizetés/utalás,Kontextusában kell kezelni.,,,,,pagamento,,,,,,ការទូទាត់,,,,,,,,,,,,,,,,,,,,,,betaling,,,,,,,,,,,,платеж,,,,,,plačilo,,,,,,betalning,,,,,,,,платіж,,,,,,,,支付,,,
payment network,Noun,,,,شبكة أداء,,,,,,,,,,,,,,Zahlungsnetzwerk,,,,,,red de pagos,,,,,,,,,,réseau de paiement,,,,,,,,platna mreža,,fizetési hálózat,,,,,,rete di pagamento,,,,,,បណ្តាញទូទាត់,,,,,,,,,,,,പണമടക്കൽ ശൃംഖല,,,,,,,,,,betalingsnetwerk,,,,,,,,,,,,платежная сеть,,,,,,plačilno omrežje,,,,,,betalningsnätverk,,,,,,ödeme ağı,,платіжна система,,,,,,,,支付网络,,,
payment processing,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obdelava plačil,,,,,,betalningshantering,,,,,,,,,,,,,,,,,,,
payment request,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,betalningsbegäran,,,,,,,,,,,,,,,,,,,
payment system,,,,,,,,,,,,,,,,,,,,,,,,,sistema de pagos,,,,,,,,,,Système de paiement,,,,,,,,platni sustav,,,,,,,,sistema di pagamento,,,,,,ប្រព័ន្ឋទូទាត់,,,,,,,,,,,,,,,,,,,,,,betaalsysteem,,,,,,,,,,,,платежная система,,,,,,,,,,,,betalningssystem,,,,,,,,,,,,,,,,支付系统,,,
peer-to-peer,Adjective,,,,ند لند,,,,,,,,,,,,,,peer-to-peer,,,,,,de igual a igual,,,,,,,,,,pair-à-pair,,,,,,,,,,peer-to-peer/direkt,"Nem fordítanám le, de ha mégis, akkor a ""pontól-pontig"" vagy a ""rendszeregyenrangú"" megoldások közül lehet választani: http://www.szomagyarito.hu/szocikk.php?id=190
Én itt hozzáadnám a ""direkt"" szót, mert voltaképp arról van szó. ",,,,,peer-to-peer,,,,,,ដែលភ្ជាប់ពីមួយទៅមួយ,,,,,,,,,,,,പിയർ-ടു-പിയർ,,,,,,,,,,peer-to-peer; p2p,,,,,,,,,,,,децентрализованный,пиринговый,,,,,vrstniški,,,,,,icke-hierarkisk,,,,,,eşler arası,,peer-to-peer,,,,,,,,P2P,,"點對點（P2P, Peer-to-peer）",
people,Noun,,,,,,,,,,,,,,,,,,Menschen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,persone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mettere,,,,,,ទីកន្លែង,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
places,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,piazzare,,,,,,ធ្វើទីកន្លែងច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
please,,,,,رجاءً,,,,,,,,,,,,,,,,,,,,complacer,también puede ser: por favor. Depende del contexto,,,,,,,,,s'il te plait,,,,,,,,molim,,kérjük,"Mindig használjunk többes számot, így szokás (és végső soron így helyes, mivel sokan vesznek részt a projektben).",,,,,per favore,,,,,,សូម,,,,,,,,,,,,,,,,,,,,,,alstublieft,,,,,,,,,,,,пожалуйста,,,,,,prosimo,,,,,,snälla,"Använd med försiktighet. På svenska utelämnas oftast ""Please"" vid översättning.",,,,,,,будь-ласка,,,,,,,,,,,
ponzi scheme,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ponzibedrägeri,,,,,,,,,,,,,,,,,,,
possibilities,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,possibilità,,,,,,លទ្ធភាព,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,messaggio,,,,,,បុស្តិ៍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posts,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,messaggi,,,,,,បុស្តិ៍ច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
privacy,Noun,,,,,,,,,,,,,,,,,,,,,,,,privacidad,,,,,,,,,,,,,,,,,,privatnost,,,,,,,,privacy,,,,,,ឯកជនភាព,,,,,,,,,,,,,,,,,,,,,,privacy,,,,,,,,,,,,конфиденциальность,,,,,,,,,,,,integritet,,,,,,,,,,,,,,,,,,,
private key,Noun,,,,مفتاح شخصي,,,,,,,,,,,,,,,,,,,,llave privada,,,,,,,,,,clé privée,,,,,,,,privatni ključ,,privát kulcs,,,,,,chiave privata,,,,,,ឃីកូដឯកជន,,,,,,,,,,,,സ്വകാര്യ ചാവി,,,,,,,,,,geheime sleutel,,,,,,,,chave privada,,,,секретный ключ,,,,,,zasebni ključ,,,,,,privat nyckel,,,,,,özel anahtar,,приватний ключ,,,,,,,,私钥,,私密金鑰,私鑰
process,Noun,,,,,,,,,,,,,,,,,,Verfahren,,,,,,proceso,,,,,,,,,,traitement,,,,,,,,proces,,folyamat/eljárás,,,,,,processo,,,,,,ដំណើរការ,,,,,,,,,,,,പ്രക്രിയ,,,,,,,,,,proces,,,,,,,,processo,,,,процесс,,,,,,postopek,,,,,,process,,,,,,süreç,,процес,,,,,,,,,,,
processing,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lavorazione,,,,,,ដំណើរការ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hantering, bearbetning","betalningshantering, transaktionsbearbetning",,,,,,,,,,,,,,,,,,
processing,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,processare,,,,,,កំពុងដំណើរការ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
